       #Energy       JDOS
       0.00000       0.00000
       0.00750       0.00000
       0.01500       0.00000
       0.02250       0.00000
       0.03000       0.00000
       0.03750       0.00000
       0.04500       0.00000
       0.05250       0.00000
       0.06000       0.00000
       0.06750       0.00000
       0.07500       0.00000
       0.08250       0.00000
       0.09000       0.00000
       0.09750       0.00000
       0.10500       0.00000
       0.11250       0.00000
       0.12000       0.00000
       0.12750       0.00000
       0.13500       0.00000
       0.14250       0.00000
       0.15000       0.00000
       0.15750       0.00000
       0.16500       0.00000
       0.17250       0.00000
       0.18000       0.00000
       0.18750       0.00000
       0.19500       0.00000
       0.20250       0.00000
       0.21000       0.00000
       0.21750       0.00000
       0.22500       0.00000
       0.23250       0.00000
       0.24000       0.00000
       0.24750       0.00000
       0.25500       0.00000
       0.26250       0.00000
       0.27000       0.00000
       0.27750       0.00000
       0.28500       0.00000
       0.29250       0.00000
       0.30000       0.00000
       0.30750       0.00000
       0.31500       0.00000
       0.32250       0.00000
       0.33000       0.00000
       0.33750       0.00000
       0.34500       0.00000
       0.35250       0.00000
       0.36000       0.00000
       0.36750       0.00000
       0.37500       0.00000
       0.38250       0.00000
       0.39000       0.00000
       0.39750       0.00000
       0.40500       0.00000
       0.41250       0.00000
       0.42000       0.00000
       0.42750       0.00000
       0.43500       0.00000
       0.44250       0.00000
       0.45000       0.00000
       0.45750       0.00000
       0.46500       0.00000
       0.47250       0.00000
       0.48000       0.00000
       0.48750       0.00000
       0.49500       0.00000
       0.50250       0.00000
       0.51000       0.00000
       0.51750       0.00000
       0.52500       0.00000
       0.53250       0.00000
       0.54000       0.00000
       0.54750       0.00000
       0.55500       0.00000
       0.56250       0.00000
       0.57000       0.00000
       0.57750       0.00000
       0.58500       0.00000
       0.59250       0.00000
       0.60000       0.00000
       0.60750       0.00000
       0.61500       0.00000
       0.62250       0.00000
       0.63000       0.00000
       0.63750       0.00000
       0.64500       0.00000
       0.65250       0.00000
       0.66000       0.00000
       0.66750       0.00000
       0.67500       0.00000
       0.68250       0.00000
       0.69000       0.00000
       0.69750       0.00000
       0.70500       0.00000
       0.71250       0.00000
       0.72000       0.00000
       0.72750       0.00000
       0.73500       0.00000
       0.74250       0.00000
       0.75000       0.00000
       0.75750       0.00000
       0.76500       0.00000
       0.77250       0.00000
       0.78000       0.00000
       0.78750       0.00000
       0.79500       0.00000
       0.80250       0.00000
       0.81000       0.00000
       0.81750       0.00000
       0.82500       0.00000
       0.83250       0.00000
       0.84000       0.00000
       0.84750       0.00000
       0.85500       0.00000
       0.86250       0.00000
       0.87000       0.00000
       0.87750       0.00000
       0.88500       0.00000
       0.89250       0.00000
